Fantasy_Football_2025_Draft
RK,PLAYER NAME,TEAM,POS,BYE
153,Keenan Allen,LAC,WR60,12
154,Geno Smith,LV,QB24,8
155,Romeo Doubs,GB,WR61,5
156,Tyjae Spears,TEN,RB54,10
157,Zach Ertz,WAS,TE18,12
158,Denver Broncos,DEN,DST1,12
159,Rico Dowdle,CAR,RB55,14
160,Ollie Gordon II,MIA,RB56,12
161,Matthew Stafford,LAR,QB25,8
162,Jonnu Smith,PIT,TE19,5
163,Marquise Brown,KC,WR62,10
164,Isaiah Likely,BAL,TE20,7
165,Philadelphia Eagles,PHI,DST2,9
166,Joshua Palmer,BUF,WR63,7
167,Pittsburgh Steelers,PIT,DST3,5
168,DeMario Douglas,NE,WR64,14
169,Xavier Legette,CAR,WR65,14
170,Cam Ward,TEN,QB26,10
171,Baltimore Ravens,BAL,DST4,7
172,Adam Thielen,MIN,WR66,6
173,Minnesota Vikings,MIN,DST5,6
174,Kyle Williams,NE,WR67,14
175,Brenton Strange,JAC,TE21,8
176,Blake Corum,LAR,RB57,8
177,Wan'Dale Robinson,NYG,WR68,14
178,Houston Texans,HOU,DST6,6
179,Quentin Johnston,LAC,WR69,12
180,Tre Harris,LAC,WR70,12
181,Buffalo Bills,BUF,DST7,7
182,Roschon Johnson,CHI,RB58,5
183,Brandon Aubrey,DAL,K1,10
184,Sam Darnold,SEA,QB27,8
185,Kansas City Chiefs,KC,DST8,10
186,Will Shipley,PHI,RB59,9
187,Kyle Monangai,CHI,RB60,5
188,DeAndre Hopkins,BAL,WR71,7
189,Chig Okonkwo,TEN,TE22,10
190,Cameron Dicker,LAC,K2,12
191,Detroit Lions,DET,DST9,8
192,Green Bay Packers,GB,DST10,5
193,Alec Pierce,IND,WR72,11
194,Cade Otton,TB,TE23,9
195,Jake Bates,DET,K3,8
196,Chris Rodriguez Jr.,WAS,RB61,12
197,Seattle Seahawks,SEA,DST11,8
198,Jalen Coker,CAR,WR73,14
199,Los Angeles Rams,LAR,DST12,8
200,Isaac Guerendo,SF,RB62,14
201,Kendre Miller,NO,RB63,11
202,Woody Marks,HOU,RB64,6
203,Darius Slayton,NYG,WR74,14
204,Wil Lutz,DEN,K4,12
205,Chase McLaughlin,TB,K5,9
206,Ka'imi Fairbairn,HOU,K6,6
207,Jaylen Wright,MIA,RB65,12
208,Elic Ayomanor,TEN,WR75,10
209,Michael Wilson,ARI,WR76,8
210,Los Angeles Chargers,LAC,DST13,12
211,Mike Gesicki,CIN,TE24,10
212,DJ Giddens,IND,RB66,11
213,Keaton Mitchell,BAL,RB67,7
214,Harrison Butker,KC,K7,10
215,Aaron Rodgers,PIT,QB28,5
216,San Francisco 49ers,SF,DST14,14
217,Pat Bryant,DEN,WR77,12
218,Mason Taylor,NYJ,TE25,9
219,Kareem Hunt,KC,RB68,10
220,Chris Boswell,PIT,K8,5
221,Pat Freiermuth,PIT,TE26,5
222,Evan McPherson,CIN,K9,10
223,Adonai Mitchell,IND,WR78,11
224,Justice Hill,BAL,RB69,7
225,Andrei Iosivas,CIN,WR79,10
226,Jake Elliott,PHI,K10,9
227,Tyler Bass,BUF,K11,7
228,Miles Sanders,DAL,RB70,10
229,Jaylin Noel,HOU,WR80,6
230,New York Jets,NYJ,DST15,9
231,Dalton Schultz,HOU,TE27,6
232,Isaac TeSlaa,DET,WR81,8
233,Calvin Austin III,PIT,WR82,5
234,Tahj Brooks,CIN,RB71,10
235,Jack Bech,LV,WR83,8
236,Dontayvion Wicks,GB,WR84,5
237,Juwan Johnson,NO,TE28,11
238,Dont'e Thornton Jr.,LV,WR85,8
239,MarShawn Lloyd,GB,RB72,5
240,Tory Horton,SEA,WR86,8
241,Matt Gay,WAS,K12,12
242,Elijah Arroyo,SEA,TE29,8
243,Dameon Pierce,HOU,RB73,6
244,Dyami Brown,JAC,WR87,8
245,Ja'Tavion Sanders,CAR,TE30,14
246,Daniel Jones,IND,QB29,11
247,Tyler Lockett,TEN,WR88,10
248,Jarquez Hunter,LAR,RB74,8
249,Sean Tucker,TB,RB75,9
250,Younghoe Koo,NYG,K13,14
251,Roman Wilson,PIT,WR89,5
252,Brashard Smith,KC,RB76,10
253,Jalen McMillan,TB,WR90,9
254,Theo Johnson,NYG,TE31,14
255,Devin Neal,NO,RB77,11
256,Russell Wilson,NYG,QB30,14
257,Raheem Mostert,LV,RB78,8
258,Tampa Bay Buccaneers,TB,DST16,9
259,Harold Fannin Jr.,CLE,TE32,9
260,Jalen Royals,KC,WR91,10
261,Cole Kmet,CHI,TE33,5
262,Malik Washington,MIA,WR92,12
263,Kayshon Boutte,NE,WR93,14
264,Kenneth Gainwell,PIT,RB79,5
265,Devaughn Vele,NO,WR94,11
266,Joe Flacco,CLE,QB31,9
267,Nick Westbrook-Ikhine,MIA,WR95,12
268,Elijah Mitchell,KC,RB80,10
269,Tyler Loop,BAL,K14,7
270,Jalen Tolbert,DAL,WR96,10
271,Noah Gray,KC,TE34,10
272,Ty Johnson,BUF,RB81,7
273,Trevor Etienne,CAR,RB82,14
